airp_iata_code,name,img_url,img_name,owm_city_code,owm_name
,,,,,
AUH,Abu Dhabi,https://edinburghairport.s3.amazonaws.com/files/2017/05/0a3fa1ebc8203a4413226ed617e21bce.jpg,abu dhabi,292968,Abu Dhabi
ALC,Alicante,https://edinburghairport.s3.amazonaws.com/files/2017/05/aa26cc631edd26c7f7ee395635090db9.jpg,alicante,1731494,Alicante
LEI,Almeria,https://edinburghairport.s3.amazonaws.com/files/2017/04/424555f9a2e17f29f1893cf19304acbd.jpg,almeria,1731314,Almeria
AMS,Amsterdam,https://edinburghairport.s3.amazonaws.com/files/2017/05/d6bb306f342cc76a858342de79edb5c4.jpg,amsterdam,5637141,Amsterdam
AYT,Antalya,https://edinburghairport.s3.amazonaws.com/files/2017/06/534a4ca9fe4836d32cc3fe1728a7f415.jpg,antalya,323777,Antalya
ATH,Athens,https://edinburghairport.s3.amazonaws.com/files/2017/05/4ebdb01cf0a437f5e751ff9a8f181881.jpg,athens,5244312,Athens
BCN,Barcelona,https://edinburghairport.s3.amazonaws.com/files/2017/05/a6abf32f38274401b2ede21a4becda9f.jpg,barcelona,1726708,Barcelona
BSL,Basel,https://edinburghairport.s3.amazonaws.com/files/2017/06/c1b2e244929afb191c73373100e97b5d.jpg,basel,2661604,Basel
PEK,Beijing,https://edinburghairport.s3.amazonaws.com/files/2018/03/b7cfb1ad0e209a76887687dca550950d.jpg,beijing,1816670,Beijing
BHD,Belfast City,https://edinburghairport.s3.amazonaws.com/files/2017/06/712d1b68739f7b583ed3d11259fff379.jpg,belfast city,1816670,Beijing
BFS,Belfast International,https://edinburghairport.s3.amazonaws.com/files/2017/06/afe8749b403bfb43fa6eac6dd14f8554.jpg,belfast international,1816670,Beijing
EGC,Bergerac,https://edinburghairport.s3.amazonaws.com/files/2017/05/43318512e8694a1263fdf8dfb7a50f17.jpg,bergerac,3033391,Bergerac
SXF,Berlin Schönefeld,https://edinburghairport.s3.amazonaws.com/files/2017/05/2cd66fbe6b14ddcb887bd91e10c0585f.jpg,berlin schönefeld,3033391,Bergerac
BZR,Beziers,https://edinburghairport.s3.amazonaws.com/files/2017/05/67e7cf65b92839f7dab241b9418a678c.jpg,beziers,3032833,Beziers
BIO,Bilbao,https://edinburghairport.s3.amazonaws.com/files/2017/05/3a2c79065574d1d268e598a4c76c9067.jpg,bilbao,3128026,Bilbao
BHX,Birmingham,https://edinburghairport.s3.amazonaws.com/files/2017/05/ae5653465a098db049e07a4c624b15ef.jpg,birmingham,4986172,Birmingham
BJV,Bodrum,https://edinburghairport.s3.amazonaws.com/files/2017/05/203dcb3bdfa4fe7b65fcb9b4cb39382c.jpg,bodrum,320995,Bodrum
BLQ,Bologna,https://edinburghairport.s3.amazonaws.com/files/2017/05/a9bc987caa7506a6470ffe22ccdd1445.jpg,bologna,3181928,Bologna
BOD,Bordeaux,https://edinburghairport.s3.amazonaws.com/files/2017/05/5599a13a76aff3040128db642f5d85d7.jpg,bordeaux,3031582,Bordeaux
BOJ,Bourgas,https://edinburghairport.s3.amazonaws.com/files/2017/05/6345a52e794b93b20b6452899564147a.jpg,bourgas,3031582,Bordeaux
BTS,Bratislava,https://edinburghairport.s3.amazonaws.com/files/2017/05/dd28622a936a268020005fe25e578da2.jpg,bratislava,3060972,Bratislava
BRS,Bristol,https://edinburghairport.s3.amazonaws.com/files/2017/05/1187428d84865ad48e3c18fa23a73cf3.jpg,bristol,5908999,Bristol
CRL,Brussels Charleroi,https://edinburghairport.s3.amazonaws.com/files/2017/05/bf6a4f0bb1959ae3458ee8ad8605ee4c.jpg,brussels charleroi,5908999,Bristol
